,dependent1,dependent2,D/E1,D/E2,D/P,D/Y,E1/P,E2/P,B/M,SVAR1,SVAR2,INF,NTIS,TO,M0G,M1G,M2G
1996-02-01,0.021062,0.025297999999999998,-0.9160424840000001,-0.7473307490000001,-3.494444976,-3.460716482,-2.578402492,-2.747114227,0.5577139320000001,0.001807485,0.0019188529999999999,0.021,2.4064531068627173,3.6614642539999998,0.090694076,0.026492937999999997,-0.038674579
1996-03-01,-0.002043,-0.0005099999999999999,-0.916403663,-0.74533655,-3.526093157,-3.497419392,-2.6096894930000003,-2.780756607,0.54194927,0.010990851999999999,0.01018909,0.023,3.0481839498038927,10.82434983,0.081435274,-0.047950994000000004,0.092070341
1996-04-01,0.285315,0.330377,-0.958374064,-0.7903457890000001,-3.851832219,-3.5720950160000005,-2.8934581539999997,-3.06148643,0.436342278,0.026774548,0.030018747000000002,0.006,2.3756997582241746,28.71841095,-0.121680538,-0.055712227999999996,0.011510238999999998
1996-05-01,-0.037826,-0.0131,-1.202220581,-1.037246474,-4.096822039,-4.099726512,-2.8946014589999995,-3.059575565,0.437611465,0.014573698999999999,0.015923879,0.006999999999999999,3.2128814765501317,34.45356144,-0.033560612999999996,0.063165078,0.018770122
1996-06-01,0.233023,0.204932,-1.1037834990000002,-0.941879025,-4.243593487,-4.002449185,-3.139809988,-3.301714462,0.343843684,0.010999068999999998,0.007937508000000001,-0.005,3.1153862653337314,39.02775018,-0.023931783999999998,0.00331234,0.017604187
1996-07-01,0.11660899999999999,0.15487,-0.972800927,-0.81398168,-4.269717244,-4.116691728,-3.296916317,-3.455735563,0.295054957,0.016007296,0.015866357,-0.016,3.6551340820401115,48.59830357,-0.005229691,-0.006748485,0.018732057
1996-08-01,-0.00941,0.001286,-0.9704954840000001,-0.814777195,-4.300523886000001,-4.271509336,-3.330028402,-3.485746691,0.286617072,0.008202444,0.009103834,-0.008,4.28860142792594,27.35777692,0.018734101,0.012176681000000002,0.017806402
1996-09-01,0.057051,0.055539,-1.0174660309999999,-0.8648645640000001,-4.44435872,-4.351608827,-3.426892688,-3.5794941560000004,0.26122894,0.009848673,0.009947252,0.015,4.403672676000998,27.51191974,0.036371971,0.007378327,0.042727771
1996-10-01,0.195685,0.21759299999999998,-1.0504509290000001,-0.89651879,-4.732863447,-4.476954163,-3.682412518,-3.8363446569999997,0.23601698399999999,0.011718537,0.011523733999999999,0.015,3.657733038444497,45.1126771,0.039001155,-0.0024027989999999997,-0.003684189
1996-11-01,0.0724,0.091303,-1.0697755409999998,-0.9145119970000001,-4.868815922,-4.7517987569999995,-3.799040381,-3.954303925,0.20995361,0.013543391,0.014243111000000001,-0.002,3.7839264524847835,31.39781341,-0.000475681,-0.0060240319999999995,0.015401998
1996-12-01,-0.178257,-0.18354700000000002,-1.098504467,-0.94190878,-4.749255355,-4.897155697,-3.650750888,-3.807346575,0.243419658,0.049001012000000004,0.04892582,-0.001,4.794371196304098,37.53523708,0.03569304,0.005727561,0.013530694
1997-01-01,0.062666,0.08213999999999999,-1.102226259,-0.9442976909999999,-4.849100421,-4.752588147,-3.746874163,-3.90480273,0.22102474600000002,0.0055804240000000005,0.006054885,0.006999999999999999,4.877181725773836,16.55771075,0.011143021000000001,0.016573532,0.026339996
1997-02-01,0.051526,0.05198200000000001,-1.102615108,-0.943352918,-4.9260536010000004,-4.849100421,-3.823438494,-3.982700683,0.204654151,0.015969627,0.015927723,0.011000000000000001,4.868452495212213,12.59945595,0.30572597100000004,0.032328847,0.033551526
1997-03-01,0.186053,0.199512,-1.095914475,-0.9353179209999999,-5.101407551,-4.918964271,-4.0054930760000005,-4.16608963,0.170524368,0.006884461999999999,0.0071907709999999994,0.02,4.038403912118239,25.31734808,-0.122944401,-0.120261702,0.004450209
1997-04-01,0.092296,0.11703,-1.147783671,-0.985773082,-5.238157447,-5.098001889,-4.090373776,-4.252384365,0.19004000899999998,0.003116415,0.0032981829999999997,-0.011000000000000001,3.9825934783125443,23.22564695,-0.07935515900000001,0.066155379,0.007509051
1997-05-01,-0.090384,-0.092942,-1.160718811,-0.9974368,-5.1536931930000005,-5.198713666000001,-3.9929743810000002,-4.1562563930000005,0.198791213,0.033065216,0.034931397999999995,-0.002,4.6287523568700655,19.448062399999998,-0.00033404800000000004,-0.005855978,0.015413763999999998
