,dependent1,dependent2
1996-01-01,-0.046207,-0.045856999999999995
1996-02-01,0.021062000000000004,0.025298
1996-03-01,-0.002042999999999999,-0.0005099999999999983
1996-04-01,0.28531500000000004,0.33037700000000003
1996-05-01,-0.037826,-0.0131
1996-06-01,0.233023,0.20493200000000003
1996-07-01,0.11660899999999999,0.15487
1996-08-01,-0.00941,0.001285999999999999
1996-09-01,0.057051000000000004,0.055539000000000005
1996-10-01,0.195685,0.217593
1996-11-01,0.0724,0.091303
1996-12-01,-0.178257,-0.183547
1997-01-01,0.062666,0.08214
1997-02-01,0.051526,0.051981999999999993
1997-03-01,0.186053,0.19951200000000002
1997-04-01,0.09229599999999999,0.11703
1997-05-01,-0.090384,-0.09294200000000001
1997-06-01,-0.005109,0.007913
1997-07-01,-0.07227599999999999,-0.07608999999999999
1997-08-01,-0.012554,-0.016405
1997-09-01,-0.113825,-0.118073
1997-10-01,0.12898099999999998,0.13579200000000002
1997-11-01,-0.050931,-0.052716
1997-12-01,0.039111,0.046438
1998-01-01,0.015380000000000001,0.019907
1998-02-01,-0.02684,-0.027521
1998-03-01,0.019151,0.017125
1998-04-01,0.084834,0.085311
1998-05-01,0.050671,0.05021899999999999
1998-06-01,-0.064532,-0.066011
1998-07-01,-0.018129,-0.016875
1998-08-01,-0.13119,-0.125304
1998-09-01,0.075624,0.069991
1998-10-01,-0.015688,-0.013944
1998-11-01,0.017178000000000002,0.019435
1998-12-01,-0.08524000000000001,-0.08703000000000001
1999-01-01,-0.013173999999999998,-0.009028000000000001
1999-02-01,-0.04646,-0.046324000000000004
1999-03-01,0.06401899999999999,0.06161899999999999
1999-04-01,-0.037868,-0.039006
1999-05-01,0.11778999999999999,0.11271700000000001
1999-06-01,0.3353,0.360726
1999-07-01,-0.058538,-0.066107
1999-08-01,0.007425000000000001,0.005273000000000001
1999-09-01,-0.028506999999999998,-0.026363
1999-10-01,-0.04632699999999999,-0.049857
1999-11-01,-0.043836,-0.045619999999999994
1999-12-01,-0.05168999999999999,-0.050518
2000-01-01,0.139184,0.158982
2000-02-01,0.117069,0.12016800000000001
2000-03-01,0.058868000000000004,0.05407
2000-04-01,0.015016000000000002,0.011157999999999998
2000-05-01,0.027618,0.025835000000000004
2000-06-01,0.022364,0.021865000000000002
2000-07-01,0.044032,0.041389
2000-08-01,-0.007383000000000001,-0.006547
2000-09-01,-0.050122,-0.047078
2000-10-01,0.023531,0.022366
2000-11-01,0.05497600000000001,0.052318
2000-12-01,-0.0036239999999999996,-0.003961
2001-01-01,-0.01026,-0.012255
2001-02-01,-0.060557999999999994,-0.06126199999999999
2001-03-01,0.070619,0.074057
2001-04-01,-0.007202,-0.00731
2001-05-01,0.03463600000000001,0.033289
2001-06-01,0.004548000000000001,0.0009540000000000002
2001-07-01,-0.134055,-0.134358
2001-08-01,-0.037968999999999996,-0.037078
2001-09-01,-0.049926,-0.053856999999999995
2001-10-01,-0.049696,-0.050379999999999994
2001-11-01,0.035167000000000004,0.036819000000000005
2001-12-01,-0.06352500000000001,-0.06459899999999999
2002-01-01,-0.10231,-0.109581
2002-02-01,0.024758,0.026511000000000003
2002-03-01,0.058915,0.064457
2002-04-01,0.040760000000000005,0.037689
2002-05-01,-0.087821,-0.086767
2002-06-01,0.14102900000000002,0.131349
2002-07-01,-0.045097,-0.041807
2002-08-01,0.007813999999999998,0.004586
2002-09-01,-0.055106,-0.057267000000000005
