Numdiv,Divdt
14550000,1991/5/2
17950328.8,1992/3/23
,
40408987.5,1993/5/24
,
134708949.5,1994/7/14
,
129320591.4,1995/9/27
,
,
,
206912945.6,1997/8/29
,
,
,
,
931108255.2,1999/10/22
,
,
,
,
291873322.4,2002/7/23
,
291873322.4,2003/9/29
,
,
,
,
,
,
,
,
12684257.69,2007/6/20
,
,
80024639.3,2008/10/31
,
,
,
,
,
,
,
512335041.6,2012/10/19
870969570.7,2013/6/20
,
1523319305,2014/6/12
,
1987931693,2015/4/13
,
2189227449,2016/6/16
,
2712924996,2017/7/21
,
2335175946,2018/7/12
,
2489709648,2019/6/26
,
,
,
,
5541876.66,1993/4/19
,
20782037.4,1994/6/24
,
36443300.4,1995/7/6
,
40351519.04,1996/8/12
,
31704764.7,1997/7/7
,
67628613.45,1998/7/16
,
49594316.5,1999/8/12
,
94645791.15,2000/8/17
,
113574949.4,2001/8/22
,
126194388.2,2002/7/17
,
135379994,2003/5/23
,
75787595.7,2004/5/26
,
341097071.1,2005/6/29
,
595484812.7,2006/7/21
,
655484812.7,2007/5/16
,
687200638.5,2008/6/16
,
549760510.9,2009/6/8
,
769664715.3,2010/5/18
,
1099521022,2011/5/27
,
1429377328,2012/7/5
,
1979199561,2013/5/16
,
4516137257,2014/5/8
,
5524071900,2015/7/21
,
7948189441,2016/7/29
,
8720930081,2017/8/29
,
9935236801,2018/8/23
,
11811892255,2019/8/15
,
,
,
5339541.3,1993/4/23
,
12065340.8,1994/5/25
,
20479054,1995/8/23
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2340000,1993/6/7
,
5089500,1994/5/20
,
4580550,1995/9/1
,
,
,
,
,
,
,
,
,
,
,
,
,
4198834.2,2002/6/24
,
2519300.52,2003/6/19
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
12950437.5,2000/9/1
,
7407643.72,2001/7/17
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2531130,1992/10/26
,
,
11339471.2,1994/6/30
,
10432313.5,1995/7/13
,
27124014.8,1996/8/2
,
13557931.4,1997/7/15
,
46107569.8,1998/8/5
,
50718326.6,1999/7/27
,
25359163.3,2000/7/24
,
50718326.6,2001/8/30
,
32966912.29,2002/8/19
,
20287330.64,2003/7/24
,
,
,
19019372.48,2005/6/30
,
45646493.58,2006/6/28
,
88757070.85,2007/5/29
,
25359163.1,2008/4/29
,
40574660.96,2009/6/26
,
60861991.44,2010/5/13
,
45646493.58,2011/6/14
,
39560294.4,2012/7/11
,
128570956.8,2013/6/20
,
209249232.1,2014/6/9
,
159299415.4,2015/6/19
,
161999405.5,2016/6/17
,
242999108.3,2017/6/16
,
244349103.3,2018/6/22
,
263249034,2019/6/19
,
1061675,1992/11/23
,
,
4331629.9,1994/7/5
,
14727555.6,1995/8/4
,
2209133.34,1996/9/6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1188000,1993/6/15
,
1722600,1994/6/21
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
28090782.79,2017/6/2
,
140916490.5,2018/6/7
,
27623450.65,2019/6/28
,
600000,1992/4/13
4950900,1992/4/13
23763475.44,1993/4/26
,
46081132.4,1994/6/21
,
64301580.6,1995/7/25
,
27394570.8,1996/8/13
,
19176200.84,1997/8/13
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
31164300.6,2009/8/6
,
38176268.52,2010/8/27
,
21815010.58,2011/8/3
,
,
,
32722515.87,2013/7/26
,
37630893.24,2014/7/9
,
31842147.72,2015/8/6
,
111447517,2016/7/21
,
42986899.42,2017/8/16
,
42986899.42,2018/7/27
,
42986899.42,2019/7/22
,
4189328.64,1996/7/26
,
8797590,1997/7/31
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
20600951.2,1993/7/19
,
34443685.7,1994/5/11
,
67165184.1,1995/8/28
,
49254470.5,1996/8/26
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
