Sgnmnth,Mam01,Mam02,Mam03
1995-11,,23428.03,7733
1995-12,60750.5,23987.1,7885.3
1996-01,58401,25195,8600.45
1996-02,63778,25255.6,9300.83
1996-03,64512.1,23909.3,8169.1
1996-04,65723,24145,7894.94
1996-05,66880,24463,7706
1996-06,68132.8,24620.1,7665.7
1996-07,69346,25078,7809.31
1996-08,72309,25729.45,8093.35
1996-09,72042.6,26336,8409
1996-10,73152.2,26798.2,8405
1996-11,74142,27422,8705
1996-12,76094.9,28514.8,8802
1997-01,78648,30573,11493
1997-02,78998,29103,10080
1997-03,79591.2,29629,9280.1
1997-04,80818,29991,9277
1997-05,81151,30275,9066
1997-06,82811.5,31074.7,9121.6
1997-07,83460,31100,9127
1997-08,84746,31594.99,9327
1997-09,85892.4,32244.6,9426.1
1997-10,86644,32422,9489
1997-11,87590,32909,9784.58
1997-12,90995.3,34826.3,10177.6
1998-01,92211.4,35585.6,13108.4
1998-02,92024,33395,10886.06
1998-03,92037.8,33110.7,10201
1998-04,92662,33360,10173
1998-05,93936,33553,9984.4
1998-06,94657.6,33775.7,9720.4
1998-07,96314,34356,10037.4
1998-08,97299,35050,10129.07
1998-09,99794.5,36501.4,10528
1998-10,100875.2,36786.7,10501.3
1998-11,102229,37414,10671
1998-12,104498.5,38953.7,11204.2
1999-01,105500,39011,11997
1999-02,107778,38749,12784
1999-03,108438.2,38053.6,11341.6
1999-04,109218,38053,11225
1999-05,110061,38004,10889
1999-06,111363.5,38821.8,10880.5
1999-07,111414,38991,11199
1999-08,112827,40095,11395
1999-09,115079.3,41913.9,12255.2
1999-10,115390,42265,12154
1999-11,116559,43370,12483
1999-12,119897.9,45837.3,13455.5
2000-01,121220.4,46570.1,16093.9
2000-02,121583.4,44679.2,13983
2000-03,122606.82,45158.45,13235.4
2000-04,124121.87,46319.03,13675.5
2000-05,124053.25,46490.23,13075.45
2000-06,126605.33,48024.4,13006.04
2000-07,126323.92,47803.09,13156.47
2000-08,127790.3,48885.38,13378.68
2000-09,130473.84,50616.89,13894.69
2000-10,129522.44,49952.84,13589.45
2000-11,130994.07,50787.49,13877.7
2000-12,134610.3,53147.2,14652.7
2001-01,137543.63,54406.23,17018.98
2001-02,136210.17,51997.68,14910.39
2001-03,138744.46,53033.36,14362.12
2001-04,139949.85,53261.32,14622.99
2001-05,139015.84,52542.99,13942.28
2001-06,147809.67,55187.36,13943.44
2001-07,149228.73,53502.8,14071.62
2001-08,149941.76,55808.92,14370.13
2001-09,151642.7,56644,15064.6
2001-10,151497.25,56114.9,14484.61
2001-11,154088.3,56579.6,14780
2001-12,158301.9,59871.59,15688.8
2002-01,159639.27,60576.06,16725.89
2002-02,160935.59,58702.87,16641.55
2002-03,164064.57,59474.83,15544.63
2002-04,164570.56,60461.31,15864.18
2002-05,166023,61246.86,15243.07
2002-06,169601.24,63144,15097.35
2002-07,170851.14,63487.78,15357.66
2002-08,173250.92,64868.83,15712.61
2002-09,176985.21,66799.76,16233.58
2002-10,177294.15,67100.25,16014.66
2002-11,179736.26,67992.78,16346.39
2002-12,185006.97,70881.79,17278.03
2003-01,190545.05,72405.66,21244.73
2003-02,190108.41,69756.64,17937.17
2003-03,194487.3,71438.82,17106.5
2003-04,196130.13,71321.24,17441.14
2003-05,199505.19,72777.84,17115.03
2003-06,204907.42,75923.23,16956.89
2003-07,206193.07,76152.77,17362.13
2003-08,210591.9,77032.98,17606.76
2003-09,213567.13,79163.88,18306.36
2003-10,214469.36,80267.1,18250.67
2003-11,216351.73,80814.93,18439.56
2003-12,221222.8,84118.57,19745.9
2004-01,225101.93,83805.9,22287.43
2004-02,227050.72,83556.43,19893.44
2004-03,231654.6,85815.57,19297.43
2004-04,233627.86,85603.64,19878.4
2004-05,234842.4,86780.37,19048.43
2004-06,238427.49,88627.14,19017.58
2004-07,238126.97,87982.23,19409.1
2004-08,239729.19,89125.33,19517.94
2004-09,243756.88,90439.05,20524.17
2004-10,243740.32,90782.48,20078.25
2004-11,247135.58,92387.13,20209.25
2004-12,254107,95969.7,21468.3
2005-01,257708.47,97079.03,24015.41
2005-02,259357.29,92814.95,22667.97
2005-03,264588.94,94743.19,21238.95
2005-04,266992.66,94593.72,21666.56
2005-05,269240.49,95802.01,20811.59
2005-06,275785.53,98601.25,20848.76
2005-07,276966.28,97674.1,21171.2
2005-08,281288.22,99377.7,21351.56
2005-09,287438.27,100964,22272.92
2005-10,287591.61,101751.98,21892.98
2005-11,292350.39,104125.78,22409.39
2005-12,298755.7,107278.8,24031.7
2006-01,303571.65,107250.68,29310.37
2006-02,304516.27,104357.08,24482.02
2006-03,310490.65,106737.08,23472.03
2006-04,313702.34,106389.11,24155.73
2006-05,316709.8,109219.21,23465.31
2006-06,322756.35,112342.36,23469.08
2006-07,324010.76,112653.04,23752.59
2006-08,327885.67,114845.67,24185.36
2006-09,331865.36,116814.1,25687.38
2006-10,332747.18,118359.97,24964.17
2006-11,337504.16,121644.96,25527.26
2006-12,345577.9,126028.1,27072.62
2007-01,351498.77,128484.06,27949.13
2007-02,358659.25,126258.08,30627.93
2007-03,364093.66,127881.31,27387.95
2007-04,367326.46,127678.34,27813.89
2007-05,369718.15,130275.8,26727.97
2007-06,377832.15,135847.41,26881.1
2007-07,383884.88,136237.43,27326.26
2007-08,387205.15,140993.31,27822.39
2007-09,393098.91,142591.57,29030.58
2007-10,394204.17,144649.33,28317.78
2007-11,399757.91,148009.82,28987.92
2007-12,403442.21,152560.08,30375.23
2008-01,417818.67,154870.16,36673.15
2008-02,421037.84,150177.88,32454.47
2008-03,423054.53,150867.47,30433.07
