IPO_date,IPO_number
1991/4/3,350000.00 
1991/1/29,28000000.00 
1991/1/14,5000000.00 
1990/12/10,44338500.00 
1992/4/27,15594680.00 
1992/4/13,8400000.00 
1992/5/7,11384486.00 
1991/6/25,84410000.00 
1995/10/27,16998928.00 
1992/3/30,41500000.00 
1992/2/28,20300000.00 
1992/6/2,11000000.00 
1992/3/27,30150000.00 
1992/3/31,32800000.00 
1992/10/12,19400000.00 
1992/4/28,29630000.00 
1994/2/2,25675000.00 
1993/4/29,25300000.00 
1993/6/21,25980000.00 
1993/6/3,12500000.00 
1993/9/3,107300000.00 
1993/8/9,30000000.00 
1993/9/15,112000000.00 
1993/9/29,43500000.00 
1993/10/8,67000000.00 
1993/10/28,27500000.00 
1994/5/9,46800000.00 
1994/4/8,15000000.00 
1994/6/17,34100000.00 
1994/7/1,15000000.00 
1994/8/8,10000000.00 
1994/4/8,12000000.00 
1994/8/8,22000000.00 
1994/9/21,16300000.00 
1994/8/15,16800000.00 
1994/9/12,13000000.00 
1994/11/1,21800000.00 
1995/3/20,14000000.00 
1995/3/15,11000000.00 
1996/4/15,20000000.00 
1996/7/8,20000000.00 
1996/12/26,25000000.00 
1997/1/30,130000000.00 
1997/1/23,20000000.00 
1997/1/10,19000000.00 
1997/1/30,20000000.00 
1997/11/18,65000000.00 
1998/6/5,12500000.00 
1997/6/26,57000000.00 
1997/6/11,150000000.00 
1997/9/10,50000000.00 
2000/5/11,70000000.00 
1998/12/18,19100000.00 
1997/7/28,125000000.00 
1998/4/20,100000000.00 
1999/7/21,58000000.00 
2000/7/24,85000000.00 
2000/7/31,60000000.00 
2004/1/30,994395944.00 
2000/8/7,70000000.00 
2000/9/6,70000000.00 
2000/9/20,25000000.00 
2000/9/26,130000000.00 
2000/9/6,36000000.00 
2000/10/12,50000000.00 
2000/7/24,100000000.00 
2000/9/26,70000000.00 
2015/1/26,8140984977.00 
2000/5/29,105000000.00 
2013/9/18,686323389.00 
2007/4/30,190653552.00 
1997/4/18,50000000.00 
1996/6/14,60000000.00 
1996/6/26,30000000.00 
1996/6/28,24000000.00 
1996/6/19,35000000.00 
1996/7/3,17500000.00 
1996/6/28,15000000.00 
1996/6/27,21000000.00 
1996/7/18,54000000.00 
1996/7/16,26200000.00 
1996/9/25,29977900.00 
1996/7/16,12500000.00 
1996/7/19,18000000.00 
1996/8/12,18000000.00 
1996/8/16,15000000.00 
1996/8/2,36500000.00 
1996/8/6,13740000.00 
1996/8/15,16350000.00 
1996/7/29,17500000.00 
1996/8/28,30000000.00 
1996/8/28,15300000.00 
1996/8/8,20000000.00 
1998/2/20,100000000.00 
1996/8/29,15000000.00 
2000/11/20,70000000.00 
1997/6/9,60000000.00 
1992/11/20,32201600.00 
1992/11/23,20384177.00 
1992/11/30,31035081.00 
1992/12/8,19000000.00 
1992/12/21,21086400.00 
1993/3/12,45000000.00 
1993/3/26,52283000.00 
1993/5/7,20500000.00 
