,Index
1994-12-30,379.3402
1995-1-27,334.3966
1995-2-28,346.8322
1995-3-31,375.9189
1995-4-28,338.1214
1995-5-31,412.0695
1995-6-30,369.8218
1995-7-31,405.0196
1995-8-31,421.7193
1995-9-29,418.1797
1995-10-31,423.6809
1995-11-30,371.8525
1995-12-29,326.264
1996-1-31,313.8169
1996-2-16,324.102
1996-3-29,327.3883
1996-4-30,407.4056
1996-5-31,410.5822
1996-6-28,494.2334
1996-7-31,574.7438
1996-8-30,579.8308
1996-9-27,613.2468
1996-10-31,705.37
1996-11-29,817.4471
1996-12-31,680.3685
1997-1-31,737.5361
1997-2-28,775.2106
1997-3-31,935.1471
1997-4-30,1017.2053
1997-5-30,923.015
1997-6-27,907.4984
1997-7-31,857.2282
1997-8-29,839.3289
1997-9-30,750.2291
1997-10-31,858.9883
1997-11-28,818.3222
1997-12-31,873.689
1998-1-23,894.8004
1998-2-27,869.5439
1998-3-31,915.6778
1998-4-30,980.8847
1998-5-29,1032.9354
1998-6-30,982.965
1998-7-31,968.6191
1998-8-31,859.542
1998-9-30,914.8871
1998-10-30,906.0503
1998-11-30,903.2211
1998-12-31,847.8614
1999-1-29,844.1814
1999-2-9,807.9733
1999-3-31,874.5444
1999-4-30,829.1702
1999-5-31,933.0008
1999-6-30,1199.2199
1999-7-30,1175.1892
1999-8-31,1157.8263
1999-9-30,1153.7852
1999-10-29,1100.243
1999-11-30,1053.1678
1999-12-30,1000
2000-1-28,1160.7866
2000-2-29,1320.5502
2000-3-31,1374.5922
2000-4-28,1392.4219
2000-5-31,1447.9105
2000-6-30,1469.6134
2000-7-31,1531.2111
2000-8-31,1508.9531
2000-9-29,1454.0651
2000-10-31,1508.4194
2000-11-30,1582.4779
2000-12-29,1571.3948
2001-1-19,1555.5972
2001-2-28,1483.4784
2001-3-30,1574.791
2001-4-30,1567.5632
2001-5-31,1629.9084
2001-6-29,1636.0779
2001-7-31,1445.761
2001-8-31,1365.171
2001-9-28,1292.4841
2001-10-31,1231.7822
2001-11-30,1280.0514
2001-12-31,1172.4143
2002-1-31,1058.5637
2002-2-28,1075.0428
2002-3-29,1167.6301
2002-4-30,1215.9514
2002-5-31,1111.3063
2002-6-28,1259.2721
2002-7-31,1213.6754
2002-8-30,1216.9929
2002-9-27,1148.8564
2002-10-31,1090.046
2002-11-29,1016.131
2002-12-31,938.2324
2003-1-29,1056.4956
2003-2-28,1067.067
2003-3-31,1057.3889
2003-4-30,1036.5637
2003-5-30,1082.1107
2003-6-30,1016.2443
2003-7-31,993.9757
2003-8-29,962.6107
2003-9-30,920.2191
2003-10-31,881.7914
2003-11-28,900.5555
2003-12-31,933.7751
2004-1-30,998.4836
2004-2-27,1075.1605
2004-3-31,1127.564
2004-4-30,1003.2291
2004-5-31,974.7092
2004-6-30,894.282
2004-7-30,858.5112
2004-8-31,811.0329
2004-9-30,858.7334
2004-10-29,809.5546
2004-11-30,836.4167
2004-12-31,773.1392
2005-1-31,759.6613
2005-2-28,780.4458
2005-3-31,731.2293
2005-4-29,680.8918
2005-5-31,610.0508
2005-6-30,621.3968
2005-7-29,626.8582
2005-8-31,705.1279
2005-9-30,691.3957
2005-10-31,658.2361
2005-11-30,648.0214
2005-12-30,684.0646
2006-1-25,744.0108
2006-2-28,759.2777
2006-3-31,783.0768
2006-4-28,869.5721
2006-5-31,1070.7769
2006-6-30,1080.6188
2006-7-31,977.358
2006-8-31,1042.8418
2006-9-29,1110.8059
2006-10-31,1148.2012
2006-11-30,1280.8951
2006-12-29,1449.5112
2007-1-31,1672.5308
2007-2-28,1876.7981
2007-3-30,2124.8176
2007-4-30,2744.2964
2007-5-31,2880.1553
2007-6-29,2754.3779
2007-7-31,3357.9233
2007-8-31,3804.9426
2007-9-28,3988.595
2007-10-31,3766.8074
2007-11-30,3359.5952
2007-12-28,3858.7986
2008-1-31,3357.7458
2008-2-29,3548.4241
2008-3-31,2720.6165
2008-4-30,2946.6946
2008-5-30,2724.3125
2008-6-30,2112.7629
2008-7-31,2208.052
2008-8-29,1805.5679
2008-9-26,1686.1022
2008-10-31,1251.954
2008-11-28,1410.1641
2008-12-31,1430.793
2009-1-23,1618.8582
2009-2-27,1711.6703
2009-3-31,2063.1602
2009-4-30,2126.0664
2009-5-27,2241.2397
2009-6-30,2611.188
2009-7-31,2907.0378
2009-8-31,2464.2466
2009-9-30,2406.5757
2009-10-30,2631.8694
2009-11-30,2950.3362
2009-12-31,2939.7869
2010-1-29,2687.7942
2010-2-26,2771.115
2010-3-31,2888.1436
2010-4-30,2623.2981
2010-5-31,2379.9822
2010-6-30,2199.1772
2010-7-30,2485.0549
2010-8-31,2573.0613
2010-9-30,2575.3315
2010-10-29,2884.6086
2010-11-30,2777.4658
2010-12-31,2737.5686
2011-1-31,2690.3313
2011-2-28,2852.2205
2011-3-31,2865.1155
2011-4-29,2791.1301
2011-5-31,2622.9783
2011-6-30,2691.0337
2011-7-29,2659.6453
2011-8-31,2498.5847
2011-9-30,2312.2429
2011-10-31,2475.6462
2011-11-30,2312.4482
2011-12-30,2123.853
2012-1-31,2233.2681
2012-2-29,2385.6973
2012-3-30,2186.8015
2012-4-27,2316.031
2012-5-31,2316.0659
2012-6-29,2197.4744
2012-7-31,2109.8882
2012-8-31,2025.563
2012-9-28,2073.98
2012-10-31,2102.39
2012-11-30,1932.54
2012-12-31,2224.87
2013-1-31,2365.68
2013-2-28,2376.7759
2013-3-29,2239.2658
2013-4-26,2192.4873
2013-5-31,2407.307
2013-6-28,2046.2654
2013-7-31,2183.5817
2013-8-30,2263.4411
2013-9-30,2385.7764
2013-10-31,2319.5475
2013-11-29,2440.4994
2013-12-31,2328.8088
2014-1-30,2316.1153
2014-2-28,2336.2127
2014-3-31,2321.408
2014-4-30,2253.5585
2014-5-30,2287.1972
2014-6-30,2391.0989
2014-7-31,2533.1109
2014-8-29,2632.1693
2014-9-30,2886.923
2014-10-31,2946.7975
2014-11-28,3212.4723
2014-12-31,3573.4819
2015-1-30,3643.7429
2015-2-27,3871.5947
2015-3-31,4842.6024
2015-4-30,5470.8308
2015-5-29,6293.9139
2015-6-30,4635.2585
2015-7-31,4743.5066
2015-8-31,3781.3288
2015-9-30,3777.8516
2015-10-30,4423.9262
2015-11-30,4799.3737
2015-12-31,4949.1953
2016-1-29,3585.3366
2016-2-29,3704.7443
2016-3-31,4052.2932
2016-4-29,3986.7198
2016-5-31,4032.2883
2016-6-30,4103.0126
2016-7-29,4127.5755
2016-8-31,4285.0685
2016-9-30,4247.6501
2016-10-31,4414.3286
2016-11-30,4520.5732
2016-12-30,4310.2245
2017-1-26,4299.3154
2017-2-28,4421.7533
2017-3-31,4409.2625
2017-4-28,4279.7679
2017-5-31,4124.9052
2017-6-30,4357.9826
2017-7-31,4395.0192
2017-8-31,4586.2843
2017-9-29,4621.7526
2017-10-31,4620.7182
2017-11-30,4551.1012
2017-12-29,4522.7222
2018-1-31,4511.7744
2018-2-28,4392.6286
2018-3-30,4376.2499
2018-4-27,4213.4125
2018-5-31,4170.235
2018-6-29,3860.3372
2018-7-31,3665.3598
2018-8-31,3625.9119
2018-9-28,3674.7587
2018-10-31,3468.1867
2018-11-30,3409.7867
2018-12-28,3244.8955
2019-1-31,3400.7148
2019-2-28,3988.7126
2019-3-29,4241.5262
2019-4-30,4180.4348
2019-5-31,3913.6616
2019-6-28,4045.6673
2019-7-31,3957.1453
2019-8-30,4011.1518
2019-9-30,4042.0189
2019-10-31,4129.6369
2019-11-29,4013.6018
2019-12-31,4389.5669
