Markettype,Trddt,Cdretwdos,Cdretwdtl
10,1996/1/2,0.015102,0.01467
5,1996/1/2,-0.032548,-0.032544
15,1996/1/2,-0.027591,-0.031245
21,1996/1/2,-0.032548,-0.032544
31,1996/1/2,-0.027591,-0.031245
37,1996/1/2,-0.032548,-0.032544
47,1996/1/2,-0.027591,-0.031245
53,1996/1/2,-0.032548,-0.032544
63,1996/1/2,-0.027591,-0.031245
10,1996/1/3,0.017062,0.015726
5,1996/1/3,0.004265,0.005805
15,1996/1/3,0.005872,0.006182
21,1996/1/3,0.004265,0.005805
31,1996/1/3,0.005872,0.006182
37,1996/1/3,0.004265,0.005805
47,1996/1/3,0.005872,0.006182
53,1996/1/3,0.004265,0.005805
63,1996/1/3,0.005872,0.006182
10,1996/1/4,0.041171,0.041307
5,1996/1/4,0.02782,0.02775
15,1996/1/4,0.029714,0.028292
21,1996/1/4,0.02782,0.02775
31,1996/1/4,0.029714,0.028292
37,1996/1/4,0.02782,0.02775
47,1996/1/4,0.029714,0.028292
53,1996/1/4,0.02782,0.02775
63,1996/1/4,0.029714,0.028292
10,1996/1/5,-0.003802,-0.003996
5,1996/1/5,-0.036546,-0.037861
15,1996/1/5,-0.03153,-0.036388
21,1996/1/5,-0.036546,-0.037861
31,1996/1/5,-0.03153,-0.036388
37,1996/1/5,-0.036546,-0.037861
47,1996/1/5,-0.03153,-0.036388
53,1996/1/5,-0.036546,-0.037861
63,1996/1/5,-0.03153,-0.036388
10,1996/1/8,-0.004765,-0.005201
5,1996/1/8,0.002998,0.003584
15,1996/1/8,0.001938,0.00325
21,1996/1/8,0.002998,0.003584
31,1996/1/8,0.001938,0.00325
37,1996/1/8,0.002998,0.003584
47,1996/1/8,0.001938,0.00325
53,1996/1/8,0.002998,0.003584
63,1996/1/8,0.001938,0.00325
10,1996/1/9,0.009839,0.010103
5,1996/1/9,0.033648,0.034649
15,1996/1/9,0.030607,0.033785
21,1996/1/9,0.033648,0.034649
31,1996/1/9,0.030607,0.033785
37,1996/1/9,0.033648,0.034649
47,1996/1/9,0.030607,0.033785
53,1996/1/9,0.033648,0.034649
63,1996/1/9,0.030607,0.033785
10,1996/1/10,0.001815,0.002323
5,1996/1/10,-0.020147,-0.020292
15,1996/1/10,-0.017305,-0.019486
21,1996/1/10,-0.020147,-0.020292
31,1996/1/10,-0.017305,-0.019486
37,1996/1/10,-0.020147,-0.020292
47,1996/1/10,-0.017305,-0.019486
53,1996/1/10,-0.020147,-0.020292
63,1996/1/10,-0.017305,-0.019486
10,1996/1/11,-0.004141,-0.004325
5,1996/1/11,-0.003975,-0.004034
15,1996/1/11,-0.003998,-0.004045
21,1996/1/11,-0.003975,-0.004034
31,1996/1/11,-0.003998,-0.004045
37,1996/1/11,-0.003975,-0.004034
47,1996/1/11,-0.003998,-0.004045
53,1996/1/11,-0.003975,-0.004034
63,1996/1/11,-0.003998,-0.004045
10,1996/1/12,-0.007205,-0.007762
5,1996/1/12,0.004169,0.004064
15,1996/1/12,0.002556,0.003603
21,1996/1/12,0.004169,0.004064
31,1996/1/12,0.002556,0.003603
37,1996/1/12,0.004169,0.004064
47,1996/1/12,0.002556,0.003603
53,1996/1/12,0.004169,0.004064
63,1996/1/12,0.002556,0.003603
10,1996/1/15,0.005788,0.008134
5,1996/1/15,0.005248,0.005997
15,1996/1/15,0.005315,0.006069
21,1996/1/15,0.005248,0.005997
31,1996/1/15,0.005315,0.006069
37,1996/1/15,0.005248,0.005997
47,1996/1/15,0.005315,0.006069
53,1996/1/15,0.005248,0.005997
