Trdmnt,Cmretwdos,Cmretwdtl,Cmmvosd,Cmmvttl
1995-12,-0.116272,-0.12401,79683503.71,333782668.1
1996-01,-0.037138,-0.037488,77558942.94,323526774.9
1996-02,0.034017,0.029781,80584451.15,334624956
1996-03,0.008209,0.006676,83237806.06,344358799.3
1996-04,0.339096,0.294034,115534008.6,455511670.3
1996-05,-0.005754,-0.03048,118665393.1,454190568.7
1996-06,0.212278,0.240369,148152537.9,578050460.4
1996-07,0.162216,0.123955,178828273.5,673633828.4
1996-08,0.008632,-0.002064,186492257.2,693465320.8
1996-09,0.061561,0.063073,202903178.9,760861333.6
1996-10,0.223615,0.201707,255855008,982755548.1
1996-11,0.097325,0.078422,294677072.9,1104753570
1996-12,-0.177525,-0.172235,252210088.2,952868810.1
1997-01,0.088162,0.068688,282654961.5,1049416431
1997-02,0.058004,0.057548,305758523.1,1133360836
1997-03,0.205534,0.192075,371081056.8,1360198561
1997-04,0.123052,0.098318,436692340.9,1564844171
1997-05,-0.08692,-0.084362,419230951.9,1495956460
1997-06,0.013935,0.000913,457957015,1617589472
1997-07,-0.070068,-0.066254,445602965,1582398725
1997-08,-0.010383,-0.006532,446045806.1,1591148435
1997-09,-0.112051,-0.107803,400807596.6,1437315916
1997-10,0.141814,0.135003,464347166.9,1653603948
1997-11,-0.04811,-0.046325,453477384,1630836702
1997-12,0.051044,0.043717,483819379.4,1718601154
1998-01,0.024513,0.019986,504703461.8,1787117073
1998-02,-0.022915,-0.022234,500126969.8,1770850376
1998-03,0.021731,0.023757,515758454.5,1827673377
1998-04,0.08956,0.089083,574534272.2,2040900515
1998-05,0.054468,0.05492,616696884.1,2196355272
1998-06,-0.061762,-0.060283,588864893.6,2095221419
1998-07,-0.012984,-0.014238,589408330.9,2092738023
1998-08,-0.121413,-0.127299,526383251.4,1845589793
1998-09,0.073882,0.079515,573504808.1,2013565913
1998-10,-0.010053,-0.011797,575752377.3,2016628696
1998-11,0.023326,0.021069,596741922.9,2081019746
1998-12,-0.083139,-0.081349,554520578.2,1933652995
1999-01,-0.005931,-0.010077,557858423.1,1928724725
1999-02,-0.043227,-0.043363,535754175.2,1850453386
1999-03,0.064716,0.067116,579505900.4,1993829043
1999-04,-0.035909,-0.034771,564168931.3,1940105737
1999-05,0.115814,0.120887,635554344.7,2184345417
1999-06,0.363823,0.338397,881713333,2962470745
1999-07,-0.064251,-0.056682,851203200.9,2862445504
1999-08,0.007129,0.009281,873723661.7,2934640701
1999-09,-0.024507,-0.026651,870697496,2886165918
1999-10,-0.048001,-0.044471,835289688,2768383513
1999-11,-0.043764,-0.04198,821882746.5,2748409113
1999-12,-0.048662,-0.049834,797753591.7,2630520898
2000-01,0.160838,0.14104,942528246.6,3022690213
2000-02,0.122024,0.118925,1062722904,3387257705
2000-03,0.055926,0.060724,1138158947,3640133043
2000-04,0.013014,0.016872,1172293908,3734037457
2000-05,0.027691,0.029474,1224695077,3884606996
2000-06,0.023721,0.02422,1285552430,4051062697
2000-07,0.043245,0.045888,1370155744,4335257092
2000-08,-0.004691,-0.005527,1383899633,4335802874
2000-09,-0.045222,-0.048266,1345350793,4166456837
2000-10,0.024222,0.025387,1395064288,4295644986
2000-11,0.054174,0.056832,1500038688,4587938923
2000-12,-0.002105,-0.001768,1554349761,4778688260
2001-01,-0.010399,-0.008404,1567781409,4820951531
2001-02,-0.059406,-0.058702,1503922311,4597106285
2001-03,0.075913,0.072475,1642614456,4987477826
2001-04,-0.005454,-0.005346,1647546207,4978314671
2001-05,0.035145,0.036492,1722720186,5170865902
2001-06,0.00281,0.006404,1740230515,5235428378
2001-07,-0.132502,-0.132199,1515138002,4543044892
2001-08,-0.035222,-0.036113,1486276454,4710844727
2001-09,-0.052001,-0.04807,1415182433,4494802164
2001-10,-0.048524,-0.04784,1351518479,4281943404
2001-11,0.038675,0.037023,1409779205,4443665581
2001-12,-0.062743,-0.061669,1331698473,4251453615
2002-01,-0.107725,-0.100454,1190853769,3832441495
2002-02,0.028367,0.026614,1230477902,3947228954
2002-03,0.066092,0.06055,1322861249,4220307810
2002-04,0.039324,0.042395,1395437979,4470353507
2002-05,-0.085132,-0.086186,1275678904,4077745220
2002-06,0.132984,0.142664,1451990453,4667741640
2002-07,-0.040172,-0.043462,1404469665,4477629614
2002-08,0.006221,0.009449,1426876356,4550838754
2002-09,-0.055632,-0.053471,1358808791,4328152177
2002-10,-0.051183,-0.050734,1300445970,4174467639
2002-11,-0.062693,-0.057008,1224171819,3945672722
2002-12,-0.051492,-0.052641,1171097499,3754293483
2003-01,0.095492,0.099691,1294347204,4163350857
2003-02,0.00971,0.008816,1309596050,4205897564
2003-03,-0.013132,-0.006821,1294983361,4178351792
