Markettype,Trdmnt,Mnshrtrdtl,Mnvaltrdtl
8,1996-01,51207605,137115389.4
2,1996-01,118290835,367625177.7
4,1996-01,540019071,2128027882
1,1996-01,2299110934,10036961641
8,1996-02,18406378,55785560.29
2,1996-02,50023474,169083153.4
4,1996-02,338225307,1319227468
1,1996-02,886992008,4468295805
8,1996-03,48615936,160076749.9
2,1996-03,125263050,449360926.6
4,1996-03,1153311844,5524431287
1,1996-03,2574148265,13858272183
8,1996-04,65255477,138488793.8
2,1996-04,151718031,468076917.3
4,1996-04,6392888224,31519365450
1,1996-04,6688683118,44105106285
8,1996-05,166123131,410315222.9
2,1996-05,153717123,502487860.2
4,1996-05,8625165960,51905937203
1,1996-05,7023316706,43818470459
2,1996-06,226712665,729619983.4
4,1996-06,11306331586,74761117476
1,1996-06,11253677372,89417153749
8,1996-06,505680870,1641874075
2,1996-07,167110039,582690762.2
4,1996-07,20073516873,1.39813E+11
1,1996-07,12663944414,1.09957E+11
8,1996-07,507618501,1635521871
2,1996-08,305608094,1134365947
4,1996-08,11649037996,93499144423
1,1996-08,7322631550,62562276245
8,1996-08,273945738,946775207.1
2,1996-09,158377097,528239871.6
4,1996-09,13037139452,1.01214E+11
1,1996-09,7895616488,74419535400
8,1996-09,113714511,405646266
2,1996-10,118382127,368745801.2
4,1996-10,26973793869,2.39004E+11
1,1996-10,17360939839,1.44185E+11
8,1996-10,121179555,398618827
2,1996-11,252406757,820053661.5
4,1996-11,23004733426,2.6465E+11
1,1996-11,11682113030,1.06099E+11
8,1996-11,660701743,2472713477
2,1996-12,947304572,3336423909
4,1996-12,15998541501,1.97868E+11
1,1996-12,19767615188,1.99199E+11
8,1996-12,1495282580,8113700843
2,1997-01,375889016,1383296249
4,1997-01,11194888739,1.1457E+11
1,1997-01,6181044982,57487026802
8,1997-01,424503541,2194961666
2,1997-02,258621376,900202844
4,1997-02,7087209101,76352270879
1,1997-02,7192520831,66521830435
8,1997-02,223631951,1184783706
2,1997-03,450462075,1735304049
4,1997-03,17045218065,2.16778E+11
1,1997-03,17391402364,1.93773E+11
8,1997-03,384898262,2174607215
2,1997-04,660296840,3009265096
4,1997-04,16718435104,2.4859E+11
1,1997-04,19626083142,2.4644E+11
8,1997-04,483331745,3137790614
2,1997-05,507904570,2867992932
4,1997-05,14912879099,2.37983E+11
1,1997-05,14180575477,2.04521E+11
8,1997-05,462451772,3079375900
2,1997-06,366658390,1980328148
4,1997-06,11541671607,1.68594E+11
1,1997-06,9089609178,1.30682E+11
8,1997-06,234651140,1364660355
2,1997-07,204289980,958417999
4,1997-07,9768750473,1.31029E+11
1,1997-07,8540187090,1.02897E+11
8,1997-07,346659113,1273328243
2,1997-08,690409084,3477974367
4,1997-08,8418252705,91818195468
1,1997-08,8152980991,80653204646
8,1997-08,712161834,3060365837
2,1997-09,397912529,1610923104
4,1997-09,7874124305,77343759847
1,1997-09,8391087807,76690837830
8,1997-09,235258680,933020306
2,1997-10,358070445,1265919762
4,1997-10,11043946689,1.33325E+11
1,1997-10,6172148917,66486720036
8,1997-10,161808394,640100711.5
2,1997-11,304413370,1039242989
4,1997-11,7806302832,94490334550
1,1997-11,5612390643,59034937991
8,1997-11,118211923,400489977
2,1997-12,391985030,1006505773
4,1997-12,7116893981,83624252386
1,1997-12,6071239366,69837734041
8,1997-12,117491426,337932450.8
2,1998-01,348365470,785344173.4
4,1998-01,7625105475,90090102659
1,1998-01,6309479987,77280357704
8,1998-01,123624239,349231471.3
2,1998-02,480866720,1193579129
4,1998-02,4938669149,54068910593
1,1998-02,5195821420,58754388986
