,R_square,CW-test
D/E2,0.01503741768221245,1.6704846952300179
D/P,-0.04163435990665065,-0.7813519725660728
D/Y,-0.03407855664735471,-0.31740442663716467
E2/P,-0.07469956598342131,-1.5149949573453525
B/M,-0.06760540641545676,-1.716330062075381
SVAR1,-0.023790640229687465,-0.8473187486474346
INF,-0.009360872456094516,0.6300872701286637
NTIS,0.003829127686174827,1.281543972494171
TO,0.024061988036294668,1.9448169381106035
M0G,-0.013870694483726798,-0.1980664950070098
M1G,-0.004997592746279089,-1.8832068764906917
M2G,-0.03286270119759416,-0.3239934352886443
