,D/E1,D/E2
1996-01-01,-0.9186489096848547,-0.7522747983962219
1996-02-01,-0.9160424838877645,-0.7473307485641847
1996-03-01,-0.916403663367543,-0.7453365500909719
1996-04-01,-0.9583740644259571,-0.7903457885858316
1996-05-01,-1.2022205806913604,-1.0372464744784864
1996-06-01,-1.1037834985529997,-0.9418790248405919
1996-07-01,-0.9728009265185094,-0.813981680480218
1996-08-01,-0.970495484158242,-0.8147771949127964
1996-09-01,-1.0174660314276807,-0.8648645637106505
1996-10-01,-1.0504509286574013,-0.8965187903444409
1996-11-01,-1.069775541304022,-0.9145119972888658
1996-12-01,-1.0985044670393336,-0.9419087804253685
1997-01-01,-1.102226258621652,-0.9442976907173204
1997-02-01,-1.1026151075054536,-0.9433529178196416
1997-03-01,-1.0959144747436866,-0.9353179209810811
1997-04-01,-1.147783671196585,-0.9857730822174453
1997-05-01,-1.1607188113829814,-0.9974367997951852
1997-06-01,-1.3338655676860256,-1.1694342061380283
1997-07-01,-1.2899481471925647,-1.1244727322223262
1997-08-01,-1.3924635532918685,-1.226035544777428
1997-09-01,-1.4751863850959097,-1.3078857289030488
1997-10-01,-1.5291989036371056,-1.361380517426543
1997-11-01,-1.5602288085643998,-1.3919412485137101
1997-12-01,-1.615119366605274,-1.446404663937919
1998-01-01,-1.65760129034879,-1.488496070312248
1998-02-01,-1.6994220684187695,-1.5299584392525993
1998-03-01,-1.7475481049102903,-1.5777543712993989
1998-04-01,-1.769308015163105,-1.5989189301855653
1998-05-01,-1.7963073788558503,-1.6253705470776225
1998-06-01,-1.6771026930442154,-1.5056602287343637
1998-07-01,-1.708668785234746,-1.5367581253909464
1998-08-01,-1.539910839690183,-1.3675654119399852
1998-09-01,-1.555887844745584,-1.3831376201377132
1998-10-01,-1.5618013081788717,-1.3882487786961093
1998-11-01,-1.5473810352314779,-1.373047739145754
1998-12-01,-1.557582293552965,-1.3824889130866111
1999-01-01,-1.558440806222329,-1.3826072123320685
1999-02-01,-1.571998778047778,-1.3954440723171935
1999-03-01,-1.5835609222952982,-1.4063034761570563
1999-04-01,-1.5880317593134095,-1.4041694879985371
1999-05-01,-1.5894201627039948,-1.3989033129305923
1999-06-01,-1.4483495407722273,-1.2511276459289107
1999-07-01,-1.3614893216342914,-1.157511186381086
1999-08-01,-1.3697747537937524,-1.1589884382166424
