,D/P
1996-01-01,-3.460716482153142
1996-02-01,-3.4944449756811338
1996-03-01,-3.526093156845814
1996-04-01,-3.8518322185100367
1996-05-01,-4.096822039231874
1996-06-01,-4.243593486850944
1996-07-01,-4.269717243559473
1996-08-01,-4.300523886328094
1996-09-01,-4.444358719926353
1996-10-01,-4.7328634470601045
1996-11-01,-4.868815922418108
1996-12-01,-4.7492553553835215
1997-01-01,-4.849100421206231
1997-02-01,-4.92605360125814
1997-03-01,-5.101407550865051
1997-04-01,-5.238157447350087
1997-05-01,-5.153693192733623
1997-06-01,-5.35523985101873
1997-07-01,-5.241916046846164
1997-08-01,-5.304680859802122
1997-09-01,-5.242420796338667
1997-10-01,-5.385902023681638
1997-11-01,-5.354804992041483
1997-12-01,-5.416072480645973
1998-01-01,-5.4536336864019574
1998-02-01,-5.4441526168854715
1998-03-01,-5.483410224382695
1998-04-01,-5.572682549512628
1998-05-01,-5.632014833887524
1998-06-01,-5.426215679291474
1998-07-01,-5.418639133051233
1998-08-01,-5.087638327265882
1998-09-01,-5.155445393081745
1998-10-01,-5.148778773139544
1998-11-01,-5.151885428627775
1998-12-01,-5.074926327305658
1999-01-01,-5.059705134709326
1999-02-01,-5.018487561414336
1999-03-01,-5.091504551838234
1999-04-01,-5.06909831827997
1999-05-01,-5.189498027589355
1999-06-01,-5.353572602951665
1999-07-01,-5.23280304435896
1999-08-01,-5.266435325721105
1999-09-01,-5.231595933223069
1999-10-01,-5.129487528687974
1999-11-01,-5.140473050316142
1999-12-01,-5.098388026324347
2000-01-01,-5.247730710698953
2000-02-01,-5.359863506647969
2000-03-01,-5.4265913293185015
2000-04-01,-5.409757091323698
2000-05-01,-5.388472907097121
2000-06-01,-5.332032128081121
2000-07-01,-5.341132573582954
2000-08-01,-5.329904390450359
2000-09-01,-5.305569009017976
2000-10-01,-5.37659609595158
2000-11-01,-5.437009601353221
2000-12-01,-5.469362173796245
2001-01-01,-5.478167409197447
2001-02-01,-5.431723930111364
2001-03-01,-5.505271143601714
2001-04-01,-5.453880045302213
2001-05-01,-5.270355321234074
2001-06-01,-5.069147819724606
2001-07-01,-4.86802543856065
2001-08-01,-4.9023275488250775
2001-09-01,-4.846663598664321
2001-10-01,-4.7931015962850445
2001-11-01,-4.821561139349008
2001-12-01,-4.7756190961381435
2002-01-01,-4.67186021077573
2002-02-01,-4.700746477995899
2002-03-01,-4.769240146792185
2002-04-01,-4.840988863550955
2002-05-01,-4.797886765952473
2002-06-01,-4.878286250798997
2002-07-01,-4.794642111049384
2002-08-01,-4.636126098517909
2002-09-01,-4.553846872198143
2002-10-01,-4.524782179401694
2002-11-01,-4.47874027879951
2002-12-01,-4.433723304855306
2003-01-01,-4.537143435511869
2003-02-01,-4.547938800371433
2003-03-01,-4.539373712788802
2003-04-01,-4.515725712271319
2003-05-01,-4.55615724665088
2003-06-01,-4.30410255649474
