,D/Y
1996-01-01,-3.491924692203
1996-02-01,-3.460716482153142
1996-03-01,-3.497419392170219
1996-04-01,-3.57209501630766
1996-05-01,-4.099726511645137
1996-06-01,-4.002449185073779
1996-07-01,-4.116691728175475
1996-08-01,-4.2715093358556935
1996-09-01,-4.351608827147867
1996-10-01,-4.476954162516254
1996-11-01,-4.751798756682781
1996-12-01,-4.89715569662734
1997-01-01,-4.752588146819765
1997-02-01,-4.849100421206231
1997-03-01,-4.918964270757254
1997-04-01,-5.098001889387707
1997-05-01,-5.198713665671516
1997-06-01,-5.27706856501403
1997-07-01,-5.263911231553671
1997-08-01,-5.299166694277442
1997-09-01,-5.344099410956812
1997-10-01,-5.245722333835328
1997-11-01,-5.368668911713716
1997-12-01,-5.363655000500909
1998-01-01,-5.41454061603401
1998-02-01,-5.4532964949967315
1998-03-01,-5.45182631473568
1998-04-01,-5.462335189413263
1998-05-01,-5.558606681281287
1998-06-01,-5.473355734224793
1998-07-01,-5.419825102650737
1998-08-01,-5.213312697304595
1998-09-01,-5.068337054184344
1998-10-01,-5.147258854680626
1998-11-01,-5.120454547321575
1998-12-01,-5.148373405921369
1999-01-01,-5.062257071900266
1999-02-01,-5.059915899103377
1999-03-01,-5.016878302259364
1999-04-01,-5.096412775238761
1999-05-01,-5.070924299443533
1999-06-01,-5.048865174988698
1999-07-01,-5.26715034487076
1999-08-01,-5.241526629469387
1999-09-01,-5.248252010926347
1999-10-01,-5.1711528974893
1999-11-01,-5.147714390941832
1999-12-01,-5.142228379586566
2000-01-01,-5.108765363485933
2000-02-01,-5.245990083066964
2000-03-01,-5.354591755511507
2000-04-01,-5.384287246176221
2000-05-01,-5.348941164128128
2000-06-01,-5.290074706432954
2000-07-01,-5.2733309000160205
2000-08-01,-5.329778504571848
2000-09-01,-5.345409814231406
2000-10-01,-5.346060375679983
2000-11-01,-5.371180430034915
2000-12-01,-5.428626974389779
2001-01-01,-5.469362173796245
2001-02-01,-5.479268214690823
2001-03-01,-5.4237678443805954
2001-04-01,-5.455718967311672
2001-05-01,-5.232406575139706
2001-06-01,-5.056739309517784
2001-07-01,-5.009876640839199
2001-08-01,-4.866057777623709
2001-09-01,-4.893609183673465
2001-10-01,-4.841616277889852
2001-11-01,-4.784488495095275
2001-12-01,-4.819837761766561
2002-01-01,-4.7756190961381435
2002-02-01,-4.671234742058356
2002-03-01,-4.702345882738378
2002-04-01,-4.783429439858601
2002-05-01,-4.889810062294746
2002-06-01,-4.743155078446339
2002-07-01,-4.8362236745141765
2002-08-01,-4.619908343389515
2002-09-01,-4.604017727740242
2002-10-01,-4.560936042816348
2002-11-01,-4.535107652373398
2002-12-01,-4.483442655985979
2003-01-01,-4.433723304855306
2003-02-01,-4.5377713226266
2003-03-01,-4.54594457439859
2003-04-01,-4.513920148156068
