,E12,net_E12
1996-01-31,25462691550.03666,21560009637.846664
1996-02-29,25396411348.653324,21453678944.533333
1996-03-31,25330131147.26999,21347348251.22
1996-04-30,25228219341.826656,21326168939.01
1996-05-31,25126307536.383324,21304989626.799995
1996-06-30,25024395730.93999,21283810314.589993
1996-07-31,24922483925.49666,21262631002.37999
1996-08-31,24820572120.053326,21241451690.169987
1996-09-30,24718660314.609993,21220272377.959984
1996-10-31,24728288986.403328,21200308915.443317
1996-11-30,24737917658.196663,21180345452.92665
1996-12-31,24747546329.989998,21160381990.409985
1997-01-31,24757175001.783333,21140418527.89332
1997-02-28,24766803673.576668,21120455065.37665
1997-03-31,24776432345.370003,21100491602.859985
1997-04-30,26184503088.978336,22268144549.111652
1997-05-31,27592573832.58667,23435797495.36332
1997-06-30,29000644576.195004,24603450441.614986
1997-07-31,30408715319.803337,25771103387.866653
1997-08-31,31816786063.41167,26938756334.11832
1997-09-30,33224856807.020004,28106409280.369987
1997-10-31,34953173854.29167,29553166327.296654
1997-11-30,36681490901.56334,30999923374.22332
1997-12-31,38409807948.83501,32446680421.149986
1998-01-31,40138124996.106674,33893437468.076653
1998-02-28,41866442043.37834,35340194515.00332
1998-03-31,43594759090.65001,36786951561.929985
1998-04-30,45502709972.08002,38374101771.65832
1998-05-31,47410660853.510025,39961251981.38665
1998-06-30,49318611734.94003,41548402191.11498
1998-07-31,51226562616.37004,43135552400.843315
1998-08-31,53134513497.80005,44722702610.57165
1998-09-30,55042464379.23006,46309852820.29998
1998-10-31,55824060532.49006,46929779875.35165
1998-11-30,56605656685.75006,47549706930.40331
1998-12-31,57387252839.01006,48169633985.45498
1999-01-31,58168848992.270065,48789561040.506645
1999-02-28,58950445145.53007,49409488095.55831
1999-03-31,59732041298.79007,50029415150.60998
1999-04-30,59705921030.073395,49678335065.97665
1999-05-31,59679800761.35672,49327254981.343315
1999-06-30,59653680492.640045,48976174896.709984
1999-07-31,59627560223.92337,48625094812.07665
1999-08-31,59601439955.206696,48274014727.44332
1999-09-30,59575319686.49002,47922934642.80999
1999-10-31,60485596925.14835,48660156813.74832
1999-11-30,61395874163.80669,49397378984.68665
1999-12-31,62306151402.46502,50134601155.624985
2000-01-31,63216428641.12335,50871823326.56332
2000-02-29,64126705879.781685,51609045497.50165
2000-03-31,65036983118.440025,52346267668.43998
2000-04-30,67082823566.160034,54282393380.396645
2000-05-31,69128664013.88004,56218519092.35331
2000-06-30,71174504461.60004,58154644804.309975
2000-07-31,73220344909.32004,60090770516.26664
2000-08-31,75266185357.04004,62026896228.223305
2000-09-30,77312025804.76004,63963021940.17997
2000-10-31,79319928880.19005,65380581145.26664
2000-11-30,81327831955.62006,66798140350.35331
2000-12-31,83335735031.05006,68215699555.43998
2001-01-31,85343638106.48007,69633258760.52664
2001-02-28,87351541181.91008,71050817965.6133
2001-03-31,89359444257.34009,72468377170.69995
2001-04-30,90610812139.99843,73556349608.92328
2001-05-31,91862180022.65677,74644322047.1466
2001-06-30,93113547905.31511,75732294485.36993
2001-07-31,94364915787.97345,76820266923.59326
2001-08-31,95616283670.63179,77908239361.81659
2001-09-30,96867651553.29013,78996211800.03992
2001-10-31,98396983130.61179,80392640845.96326
2001-11-30,99926314707.93344,81789069891.8866
2001-12-31,101455646285.2551,83185498937.80994
2002-01-31,102984977862.57675,84581927983.73328
2002-02-28,104514309439.8984,85978357029.65662
2002-03-31,106043641017.22006,87374786075.57996
2002-04-30,104860448905.59673,85202959787.9633
2002-05-31,103677256793.97339,83031133500.34665
