,E1/P,E2/P
1996-01-01,-2.5420675724682873,-2.70844168375692
1996-02-01,-2.5784024917933692,-2.747114227116949
1996-03-01,-2.609689493478271,-2.780756606754842
1996-04-01,-2.8934581540840796,-3.061486429924205
1996-05-01,-2.8946014585405138,-3.0595755647533878
1996-06-01,-3.1398099882979444,-3.3017144620103522
1996-07-01,-3.2969163170409637,-3.455735563079255
1996-08-01,-3.3300284021698516,-3.4857466914152972
1996-09-01,-3.426892688498672,-3.579494156215702
1996-10-01,-3.6824125184027032,-3.8363446567156636
1996-11-01,-3.799040381114086,-3.954303925129242
1996-12-01,-3.650750888344188,-3.807346574958153
1997-01-01,-3.7468741625845787,-3.9048027304889104
1997-02-01,-3.823438493752686,-3.982700683438498
1997-03-01,-4.005493076121365,-4.16608962988397
1997-04-01,-4.090373776153502,-4.252384365132642
1997-05-01,-3.992974381350642,-4.156256392938438
1997-06-01,-4.021374283332705,-4.185805644880702
1997-07-01,-3.9519678996535994,-4.117443314623838
1997-08-01,-3.9122173065102537,-4.078645315024694
1997-09-01,-3.7672344112427574,-3.9345350674356183
1997-10-01,-3.856703120044532,-4.024521506255095
1997-11-01,-3.7945761834770835,-3.962863743527773
1997-12-01,-3.8009531140406985,-3.9696678167080535
1998-01-01,-3.7960323960531674,-3.9651376160897094
1998-02-01,-3.744730548466702,-3.914194177632872
1998-03-01,-3.7358621194724044,-3.905655853083296
1998-04-01,-3.8033745343495227,-3.9737636193270625
1998-05-01,-3.835707455031674,-4.006644286809902
1998-06-01,-3.7491129862472583,-3.92055545055711
1998-07-01,-3.709970347816487,-3.8818810076602865
1998-08-01,-3.547727487575699,-3.720072915325897
1998-09-01,-3.5995575483361613,-3.772307772944032
1998-10-01,-3.586977464960672,-3.7605299944434343
1998-11-01,-3.6045043933962972,-3.778837689482021
1998-12-01,-3.5173440337526927,-3.6924374142190466
1999-01-01,-3.5012643284869966,-3.677097922377257
1999-02-01,-3.446488783366558,-3.6230434890971424
1999-03-01,-3.507943629542936,-3.685201075681178
1999-04-01,-3.4810665589665604,-3.6649288302814327
1999-05-01,-3.6000778648853604,-3.790594714658763
1999-06-01,-3.905223062179438,-4.102444957022755
1999-07-01,-3.8713137227246683,-4.075291857977874
1999-08-01,-3.8966605719273524,-4.107446887504462
1999-09-01,-3.8804428392372046,-4.098090035934401
1999-10-01,-3.823613590183111,-4.041158299532508
1999-11-01,-3.8014348820326305,-4.018880153102611
1999-12-01,-3.7428770063151298,-3.960225754100204
2000-01-01,-3.867338298623867,-4.084593311791828
2000-02-01,-3.966915030879729,-4.184078978967186
2000-03-01,-4.0248194310916645,-4.241894871194489
2000-04-01,-4.019317326797118,-4.231045428162808
2000-05-01,-4.028807634290537,-4.235530874518332
2000-06-01,-4.04159984911594,-4.243628767971064
2000-07-01,-4.0810628752992315,-4.27867993260179
2000-08-01,-4.053631111145531,-4.247093978338334
2000-09-01,-3.9869717575876606,-4.176516140039684
2000-10-01,-3.9918675874735072,-4.185131704517737
2000-11-01,-4.032697871376627,-4.229510924735603
2000-12-01,-4.04904391607915,-4.249246628112722
2001-01-01,-4.034040693050812,-4.237484291673425
2001-02-01,-3.963241635873935,-4.169786949040468
2001-03-01,-4.0220186796753055,-4.23153532552152
2001-04-01,-4.006273148041842,-4.214794919433995
2001-05-01,-4.030506028729938,-4.238060979255273
2001-06-01,-4.029384255940961,-4.23599926866299
2001-07-01,-3.8741833980043516,-4.079884249712151
2001-08-01,-3.897279381652613,-4.102090802760014
2001-09-01,-3.8373313036162564,-4.041277034059792
2001-10-01,-3.773152107527597,-3.975239611645044
2001-11-01,-3.7948018346699044,-3.9950912813506037
2001-12-01,-3.7353945099334425,-3.933943189475613
2002-01-01,-3.6166742135382783,-3.813536718557735
2002-02-01,-3.631445086604799,-3.826673478939149
2002-03-01,-3.6838126280349783,-3.87745659292548
2002-04-01,-3.7525923606860374,-3.960186596293436
2002-05-01,-3.6720166986159093,-3.894083832601293
2002-06-01,-3.8186257534672166,-4.055719948392813
2002-07-01,-3.789995830008518,-4.034395695820997
2002-08-01,-3.8193351736404324,-4.071289620047228
2002-09-01,-3.7824603745194594,-4.042231479549436
2002-10-01,-3.6983725460655315,-3.9622356482734062
2002-11-01,-3.5962641563555984,-3.8638679656121724
2002-12-01,-3.5028048334367554,-3.7738414572973404
2003-01-01,-3.5743841320377037,-3.851702470923321
2003-02-01,-3.5536934089696786,-3.836947852230473
2003-03-01,-3.5171881396196767,-3.8060609319466003
2003-04-01,-3.5089452841074156,-3.8114942951212925
2003-05-01,-3.532568971586379,-3.848707443088024
2003-06-01,-3.459302486653268,-3.788945726456685
2003-07-01,-3.3969557686642844,-3.7259442445998303
2003-08-01,-3.3099129216656493,-3.6383215414011865
2003-09-01,-3.2225950069138634,-3.550486518943405
2003-10-01,-3.1946089149754506,-3.525111636038062
2003-11-01,-3.225111895076374,-3.558178802184546
2003-12-01,-3.275125088480273,-3.610710425712515
2004-01-01,-3.313211163484752,-3.6442381387153873
2004-02-01,-3.3453887378580127,-3.672149648546746
2004-03-01,-3.358362937751817,-3.6811228047658915
2004-04-01,-3.241941758442735,-3.558030443351335
2004-05-01,-3.193589827793435,-3.5033135992745876
2004-06-01,-3.073008023774303,-3.376652412434936
2004-07-01,-3.0327600276747297,-3.3340624989894856
2004-08-01,-2.960571245389829,-3.259711044468677
2004-09-01,-2.972224955607487,-3.2693615029961336
2004-10-01,-2.8752287375872143,-3.1704646274020547
2004-11-01,-2.855295669797112,-3.148783213326336
2004-12-01,-2.7559395614013376,-3.047813464427662
2005-01-01,-2.6614942339997647,-2.953060444118808
2005-02-01,-2.7271696985843477,-3.0184472985923065
2005-03-01,-2.59412037670171,-2.885126727534505
2005-04-01,-2.5686274784982572,-2.8695698163394887
2005-05-01,-2.4908434848804646,-2.8018491850439453
2005-06-01,-2.5039634781927838,-2.8251629006810504
2005-07-01,-2.4871267274954896,-2.8115961734182306
2005-08-01,-2.5393619344957585,-2.867043328349954
2005-09-01,-2.5285458299334636,-2.8593826458628584
2005-10-01,-2.454585965681563,-2.79177362581434
2005-11-01,-2.440129080364965,-2.7836144451401097
2005-12-01,-2.470767488519428,-2.8204982058880645
2006-01-01,-2.5438744386782517,-2.8994525772633217
2006-02-01,-2.5781517967472745,-2.9397628877185618
2006-03-01,-2.5445205219678506,-2.912359184049336
2006-04-01,-2.652266697975115,-3.021971122442963
2006-05-01,-2.791426334803411,-3.1630259237265115
2006-06-01,-2.8310303585588237,-3.204555218020584
2006-07-01,-2.916063101402113,-3.291915303406231
2006-08-01,-2.972530113799987,-3.3507856329663923
2006-09-01,-3.047866411742575,-3.428605011929502
2006-10-01,-3.2016555398043636,-3.579111519192594
2006-11-01,-3.31577024105162,-3.6900893742319276
2006-12-01,-3.5316727212487855,-3.902991268945499
2007-01-01,-3.573469560020243,-3.9412387261262474
2007-02-01,-3.530782225212029,-3.8957403209974295
2007-03-01,-3.562737920957911,-3.925414585926738
2007-04-01,-3.6499217851043504,-3.997215478126691
2007-05-01,-3.613611841684783,-3.949369419027093
2007-06-01,-3.435077302906411,-3.7618624551247706
2007-07-01,-3.5355193020197397,-3.8626293321014025
2007-08-01,-3.6119872367834773,-3.939374567466494
2007-09-01,-3.6283414194778665,-3.95596821173687
2007-10-01,-3.642441425200577,-3.9677019817899684
2007-11-01,-3.6000918588449515,-3.92335498119931
2007-12-01,-3.649588446213162,-3.9711429439966963
2008-01-01,-3.4173039696326306,-3.7375478978847525
2008-02-01,-3.3584054072064973,-3.6775074196892668
2008-03-01,-3.077687610621453,-3.395785773160622
2008-04-01,-3.039193558112501,-3.3496161390684236
2008-05-01,-2.882366300926151,-3.186481104914165
2008-06-01,-2.5623331262625015,-2.861172153184736
2008-07-01,-2.5397064379164647,-2.831207712878001
2008-08-01,-2.342264358248176,-2.627006563264903
2008-09-01,-2.2577835881544743,-2.5362794089723693
2008-10-01,-1.9454629591131258,-2.2182024851965565
2008-11-01,-2.0180969340433457,-2.285367261984103
2008-12-01,-2.004771768163856,-2.26683896260484
2009-01-01,-2.104280449144749,-2.361195025415391
