,IPO_number
1995-01-01,28000000.0
1995-02-01,57500000.0
1995-03-01,25000000.0
1995-04-01,200000000.0
1995-05-01,0.0
1995-06-01,68980000.0
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,0.0
1995-10-01,178998928.0
1995-11-01,106061500.0
1995-12-01,115500000.0
1996-01-01,50218837.0
1996-02-01,60500000.0
1996-03-01,269409700.0
1996-04-01,232490000.0
1996-05-01,377101500.0
1996-06-01,410570000.0
1996-07-01,661371500.0
1996-08-01,511774400.0
1996-09-01,376587900.0
1996-10-01,423072100.0
1996-11-01,691710320.0
1996-12-01,503600520.0
1997-01-01,600006700.0
1997-02-01,460018750.0
1997-03-01,244727500.0
1997-04-01,971597000.0
1997-05-01,1069375300.0
1997-06-01,2503823100.0
1997-07-01,1415250000.0
1997-08-01,270000000.0
1997-09-01,368000000.0
1997-10-01,480000000.0
1997-11-01,926000000.0
1997-12-01,427500000.0
1998-01-01,497000000.0
1998-02-01,559000000.0
1998-03-01,237000000.0
1998-04-01,490500000.0
1998-05-01,482616800.0
1998-06-01,1035500000.0
1998-07-01,232000000.0
1998-08-01,315000000.0
1998-09-01,595000000.0
1998-10-01,664500000.0
1998-11-01,505000000.0
1998-12-01,461100000.0
1999-01-01,485000000.0
1999-02-01,145000000.0
1999-03-01,475000000.0
1999-04-01,606840000.0
1999-05-01,394000000.0
1999-06-01,791500000.0
1999-07-01,1368423470.0
1999-08-01,563000000.0
1999-09-01,465000000.0
1999-10-01,218000000.0
1999-11-01,975000000.0
1999-12-01,665000000.0
2000-01-01,365000000.0
2000-02-01,200000000.0
2000-03-01,755000000.0
2000-04-01,620000000.0
2000-05-01,710000000.0
2000-06-01,1133000000.0
2000-07-01,1375000000.0
2000-08-01,286000000.0
2000-09-01,796000000.0
2000-10-01,282000000.0
2000-11-01,590000000.0
2000-12-01,3790000000.0
2001-01-01,775000000.0
2001-02-01,783000000.0
2001-03-01,951631900.0
2001-04-01,210000000.0
2001-05-01,395000000.0
2001-06-01,375000000.0
2001-07-01,193917500.0
2001-08-01,3670320000.0
2001-09-01,258500000.0
2001-10-01,0.0
2001-11-01,50000000.0
2001-12-01,795000000.0
2002-01-01,405000000.0
2002-02-01,340000000.0
2002-03-01,890000000.0
2002-04-01,1720000000.0
2002-05-01,589152099.0
2002-06-01,326000000.0
2002-07-01,402000000.0
2002-08-01,605000000.0
2002-09-01,596000000.0
2002-10-01,5170000000.0
2002-11-01,171000000.0
2002-12-01,170000000.0
2003-01-01,775000000.0
2003-02-01,193000000.0
2003-03-01,281000000.0
2003-04-01,633000000.0
2003-05-01,63700000.0
2003-06-01,415000000.0
2003-07-01,1386000000.0
2003-08-01,816000000.0
2003-09-01,1290000000.0
2003-10-01,410000000.0
2003-11-01,2411000000.0
2003-12-01,170000000.0
2004-01-01,1179395944.0
2004-02-01,150000000.0
2004-03-01,708000000.0
2004-04-01,524000000.0
2004-05-01,466000000.0
2004-06-01,1052000000.0
2004-07-01,687700000.0
2004-08-01,569000000.0
2004-09-01,179000000.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,765000000.0
2005-03-01,88500000.0
2005-04-01,120000000.0
2005-05-01,193000000.0
2005-06-01,85000000.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,432000000.0
2006-07-01,6694306000.0
2006-08-01,5080403030.0
2006-09-01,323300000.0
2006-10-01,19379710550.0
2006-11-01,996600000.0
2006-12-01,4855887000.0
2007-01-01,2100800000.0
2007-02-01,1574600000.0
2007-03-01,1301900000.0
2007-04-01,4405817945.0
2007-05-01,3310350487.0
2007-06-01,1859347446.0
2007-07-01,1577100000.0
2007-08-01,791200000.0
2007-09-01,10920000000.0
2007-10-01,1831500000.0
2007-11-01,4400000000.0
2007-12-01,8963125000.0
2008-01-01,276700000.0
2008-02-01,1817833400.0
2008-03-01,2576900000.0
2008-04-01,2043000000.0
2008-05-01,739790000.0
2008-06-01,345500000.0
2008-07-01,259800000.0
2008-08-01,3295800000.0
2008-09-01,140400000.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,616038405.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,12646000000.0
2009-08-01,855200000.0
2009-09-01,3826600000.0
2009-10-01,937840000.0
2009-11-01,786496141.0
2009-12-01,2894821000.0
2010-01-01,3753830000.0
2010-02-01,3418161275.0
2010-03-01,3776010000.0
2010-04-01,959341349.0
2010-05-01,809700000.0
2010-06-01,1079630000.0
2010-07-01,26646508000.0
2010-08-01,9178190000.0
2010-09-01,2939000000.0
2010-10-01,1372070000.0
2010-11-01,1543770000.0
2010-12-01,2750150000.0
2011-01-01,1799366000.0
2011-02-01,908600000.0
2011-03-01,1489904560.0
2011-04-01,806750000.0
2011-05-01,983030000.0
2011-06-01,1093940000.0
2011-07-01,593400000.0
2011-08-01,2554800000.0
2011-09-01,925263000.0
2011-10-01,3311250000.0
2011-11-01,1150323000.0
2011-12-01,1126180000.0
2012-01-01,330760000.0
2012-02-01,658750000.0
2012-03-01,2338828158.0
2012-04-01,602155691.0
2012-05-01,1094655000.0
2012-06-01,929525000.0
2012-07-01,1318920000.0
2012-08-01,589980000.0
2012-09-01,382368000.0
2012-10-01,316040000.0
2012-11-01,15000000.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,686323389.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,1072092605.0
2014-01-01,2176499350.0
2014-02-01,207164358.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,118350000.0
2014-07-01,389670000.0
2014-08-01,490700000.0
2014-09-01,624880000.0
2014-10-01,546740000.0
2014-11-01,411180000.0
2014-12-01,2023630000.0
2015-01-01,9137634977.0
2015-02-01,1145800000.0
2015-03-01,1929730000.0
2015-04-01,1468866400.0
2015-05-01,1517290000.0
2015-06-01,7056368300.0
2015-07-01,103320000.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,435247380.0
2015-12-01,3378024957.0
2016-01-01,22300000.0
2016-02-01,366200000.0
2016-03-01,591940000.0
2016-04-01,254450000.0
2016-05-01,660970000.0
2016-06-01,961920000.0
2016-07-01,531649000.0
2016-08-01,3385320000.0
2016-09-01,1553795700.0
2016-10-01,1025282936.0
2016-11-01,1882764775.0
2016-12-01,2510843500.0
2017-01-01,3351783367.0
2017-02-01,1915116200.0
2017-03-01,2451176605.0
2017-04-01,1605178037.0
2017-05-01,1501082900.0
2017-06-01,1466960500.0
2017-07-01,1213453335.0
2017-08-01,1898540027.0
2017-09-01,1738731100.0
2017-10-01,1282886700.0
2017-11-01,1672865169.0
2017-12-01,3187795864.0
2018-01-01,1320328934.0
2018-02-01,914282970.0
2018-03-01,1159968300.0
2018-04-01,354828889.0
2018-05-01,369748556.0
2018-06-01,3147337656.0
2018-07-01,400556797.0
2018-08-01,619923334.0
2018-09-01,1424068458.0
2018-10-01,1026270536.0
2018-11-01,2065615300.0
2018-12-01,116700000.0
2019-01-01,5465579762.0
2019-02-01,339964103.0
2019-03-01,1316367902.0
2019-04-01,423698845.0
2019-05-01,1220296000.0
2019-06-01,2547080254.0
2019-07-01,3578795921.0
2019-08-01,5879589038.0
2019-09-01,417745529.0
2019-10-01,1898384284.0
2019-11-01,3826955275.0
2019-12-01,6868141634.0
