,book_value
1996-01-01,186625000000.0
1996-02-01,186625000000.0
1996-03-01,186625000000.0
1996-04-01,198759000000.0
1996-05-01,198759000000.0
1996-06-01,198759000000.0
1996-07-01,198759000000.0
1996-08-01,198759000000.0
1996-09-01,198759000000.0
1996-10-01,231947000000.0
1996-11-01,231947000000.0
1996-12-01,231947000000.0
1997-01-01,231947000000.0
1997-02-01,231947000000.0
1997-03-01,231947000000.0
1997-04-01,297383000000.0
1997-05-01,297383000000.0
1997-06-01,297383000000.0
1997-07-01,297383000000.0
1997-08-01,297383000000.0
1997-09-01,297383000000.0
1997-10-01,394040000000.0
1997-11-01,394040000000.0
1997-12-01,394040000000.0
1998-01-01,394040000000.0
1998-02-01,394040000000.0
1998-03-01,394040000000.0
1998-04-01,478105000000.0
1998-05-01,478105000000.0
1998-06-01,478105000000.0
1998-07-01,478105000000.0
1998-08-01,478105000000.0
1998-09-01,478105000000.0
1998-10-01,562403000000.0
1998-11-01,562403000000.0
1998-12-01,562403000000.0
1999-01-01,562403000000.0
1999-02-01,562403000000.0
1999-03-01,562403000000.0
1999-04-01,628878000000.0
1999-05-01,628878000000.0
1999-06-01,628878000000.0
1999-07-01,628878000000.0
1999-08-01,628878000000.0
1999-09-01,628878000000.0
1999-10-01,700546000000.0
1999-11-01,700546000000.0
1999-12-01,700546000000.0
2000-01-01,700546000000.0
2000-02-01,700546000000.0
2000-03-01,700546000000.0
2000-04-01,778980000000.0
2000-05-01,778980000000.0
2000-06-01,778980000000.0
2000-07-01,778980000000.0
2000-08-01,778980000000.0
2000-09-01,778980000000.0
2000-10-01,882176000000.0
2000-11-01,882176000000.0
2000-12-01,882176000000.0
2001-01-01,882176000000.0
2001-02-01,882176000000.0
2001-03-01,882176000000.0
2001-04-01,1034950000000.0
2001-05-01,1034950000000.0
2001-06-01,1034950000000.0
2001-07-01,1034950000000.0
2001-08-01,1034950000000.0
2001-09-01,1034950000000.0
2001-10-01,1165840000000.0
2001-11-01,1165840000000.0
2001-12-01,1165840000000.0
2002-01-01,1165840000000.0
2002-02-01,1165840000000.0
2002-03-01,1165840000000.0
2002-04-01,1366230000000.0
2002-05-01,1366230000000.0
2002-06-01,1366230000000.0
2002-07-01,1416580000000.0
2002-08-01,1416580000000.0
2002-09-01,1416580000000.0
2002-10-01,1488340000000.0
