year,month,Numdiv
1995,1,28751105.7
1995,2,0
1995,3,30178400
1995,4,530332981.3
1995,5,2678300844
1995,6,2180432000
1995,7,1499765088
1995,8,1404357847
1995,9,872162039.7
1995,10,428578195.8
1995,11,204479341.3
1995,12,305049958.6
1996,1,27450000
1996,2,0
1996,3,0
1996,4,74849232
1996,5,553988210
1996,6,2927761203
1996,7,2622589633
1996,8,1387489189
1996,9,403803851.2
1996,10,142000000
1996,11,42240000
1996,12,67900280
1997,1,0
1997,2,0
1997,3,58500000
1997,4,103100007.8
1997,5,888291021.8
1997,6,1924505355
1997,7,3353235226
1997,8,921700860.5
1997,9,98251088.2
1997,10,116950600.3
1997,11,173906465.7
1997,12,0
1998,1,11710023.68
1998,2,2580000
1998,3,0
1998,4,264847110.5
1998,5,998235106.6
1998,6,3276959090
1998,7,3412334600
1998,8,3036277116
1998,9,320267890.4
1998,10,212419862.2
1998,11,510311763.1
1998,12,42380000
1999,1,165834328.2
1999,2,0
1999,3,19712975.2
1999,4,204821783.2
1999,5,975979275.4
1999,6,5115755339
1999,7,4677519905
1999,8,2903549340
1999,9,598238341.8
1999,10,1173601495
1999,11,214321015.4
1999,12,14158520
2001,1,0
2000,2,27696000
2000,3,103889161.2
2000,4,896620055.5
2000,5,2023207373
2000,6,6950992880
2000,7,5861523943
2000,8,3140692073
2000,9,275059817.1
2000,10,352896535.1
2000,11,322173650.2
2000,12,182254000
2001,1,0
2001,2,5541270
2001,3,264562958
2001,4,1926625171
2001,5,7305149456
2001,6,13282722959
2001,7,7871667176
2001,8,3209488843
2001,9,581520373.6
2001,10,531540646
2001,11,629114401.2
2001,12,243987185.9
2002,1,0
2002,2,27972538.99
2002,3,207231210.3
2002,4,1421995613
2002,5,5622563353
2002,6,15174640565
2002,7,9397671158
2002,8,10282978195
2002,9,2021169423
2002,10,209694066.1
2002,11,164403455.5
2002,12,33935764.8
2003,1,0
2003,2,0
2003,3,296135240.1
2003,4,2572445098
2003,5,5309644656
2003,6,24612906147
2003,7,8604177870
2003,8,2854089107
2003,9,3804578413
2003,10,380365776.3
2003,11,1258139358
2003,12,191759402
2004,1,58469709
2004,2,88413840
2004,3,717845997
2004,4,4925318819
2004,5,9908085125
2004,6,26229075198
2004,7,9870217920
2004,8,3051075279
2004,9,3641629696
2004,10,717121259.7
2004,11,619797638
2004,12,126032724.4
2005,1,0
2005,2,0
2005,3,112635006.8
2005,4,5749961402
2005,5,13090227153
2005,6,36557606828
2005,7,13485807105
2005,8,6564574542
2005,9,3884967208
2005,10,346788000
2005,11,905634896.9
2005,12,25000000
2006,1,485211321.7
2006,2,552698631.8
2006,3,694352632
2006,4,5700966488
2006,5,15637975623
2006,6,36522166796
2006,7,14691782066
