Trdmnt,volume
1996-01,2839130005.0
1996-02,1225217315.0
1996-03,3727460109.0
1996-04,13081571342.0
1996-05,15648482666.0
1996-06,22560008958.0
1996-07,32737461287.0
1996-08,18971669546.0
1996-09,20932755940.0
1996-10,44334733708.0
1996-11,34686846456.0
1996-12,35766156689.0
1997-01,17375933721.0
1997-02,14279729932.0
1997-03,34436620429.0
1997-04,36344518246.0
1997-05,29093454576.0
1997-06,20631280785.0
1997-07,18308937563.0
1997-08,16571233696.0
1997-09,16265212112.0
1997-10,17216095606.0
1997-11,13418693475.0
1997-12,13188133347.0
1998-01,13934585462.0
1998-02,10134490569.0
1998-03,14516417457.0
1998-04,29949739513.0
1998-05,26632531820.0
1998-06,20631664570.0
1998-07,14453351722.0
1998-08,13665573436.0
1998-09,19556491387.0
1998-10,16993751310.0
1998-11,19025424571.0
1998-12,9665543488.0
1999-01,10670914589.0
1999-02,3189175598.0
1999-03,17248349941.0
1999-04,20975767002.0
1999-05,25618555425.0
1999-06,77675674129.0
1999-07,41355631130.0
1999-08,30494256854.0
1999-09,20802395234.0
1999-10,9042144711.0
1999-11,11962325358.0
1999-12,11896617172.0
2000-01,33050480973.0
2000-02,44595713145.0
2000-03,65818814376.0
2000-04,46061910760.0
2000-05,32367203639.0
2000-06,48275742602.0
2000-07,39874956063.0
2000-08,45594823452.0
2000-09,22437454825.0
2000-10,18358756544.0
2000-11,34705777920.0
2000-12,24906012130.0
2001-01,20655327566.0
2001-02,14631473985.0
2001-03,27168251090.0
2001-04,30341663187.0
2001-05,23489837025.0
2001-06,29186843404.0
2001-07,19245023283.0
2001-08,16828180277.0
2001-09,12926632739.0
2001-10,16341327863.0
2001-11,18502288698.0
2001-12,17519546582.0
2002-01,20809534016.0
2002-02,13365451561.0
2002-03,46215164275.0
2002-04,29316545641.0
2002-05,18389560478.0
2002-06,41464239438.0
2002-07,29750047550.0
2002-08,17756437891.0
2002-09,13327122486.0
2002-10,13702185391.0
2002-11,21314135207.0
2002-12,20646079282.0
2003-01,38703416587.0
2003-02,18833623096.0
2003-03,23553128637.0
2003-04,67249482500.0
2003-05,36658728547.0
2003-06,29681555889.0
2003-07,27125226173.0
